Sample	theta_1A	theta_2B	theta_3C.D	theta_4E	theta_5H	theta_6AEC.DBH	theta_7AEC.DB	theta_8EC.DB	theta_9EC.D	tau_6AEC.DBH	tau_7AEC.DB	tau_8EC.DB	tau_9EC.D	lnL
154	0.006522	0.00499	0.004865	0.006134	0.006856	0.010364	0.00618	0.03074	0.008413	0.014761	0.007728	0.003306	0.002774	-7855.822
155	0.00624	0.006324	0.00471	0.007166	0.007127	0.024715	0.007705	0.013257	0.016768	0.012707	0.007239	0.005071	0.003072	-7862.326
156	0.006631	0.005213	0.007894	0.008727	0.004373	0.008824	0.006223	0.009337	0.009921	0.0154	0.00643	0.004897	0.003506	-7874.176
157	0.003716	0.005467	0.00615	0.007922	0.004916	0.005914	0.00703	0.006917	0.010294	0.015892	0.006961	0.005943	0.00194	-7854.916
158	0.006446	0.004509	0.004671	0.005833	0.004925	0.01316	0.006619	0.013799	0.014864	0.014727	0.007639	0.003539	0.002989	-7868.213
159	0.005846	0.004974	0.006447	0.010574	0.005968	0.007337	0.005658	0.01771	0.015415	0.017762	0.007854	0.005102	0.00147	-7870.88
160	0.005438	0.003476	0.003829	0.008633	0.003956	0.007369	0.014456	0.016917	0.022332	0.013556	0.007119	0.00378	0.00179	-7864.306
161	0.003716	0.005222	0.008037	0.003474	0.004716	0.008937	0.007008	0.019699	0.006637	0.015303	0.006313	0.00498	0.002519	-7876.961
162	0.00626	0.004573	0.006395	0.01325	0.008077	0.007043	0.00786	0.013588	0.01243	0.014992	0.005966	0.00386	0.001821	-7863.53
163	0.004839	0.007103	0.005935	0.00443	0.005332	0.011199	0.008676	0.020732	0.015763	0.01405	0.006881	0.004831	0.001468	-7861.664
164	0.00471	0.007649	0.002981	0.009596	0.004342	0.015694	0.014171	0.005248	0.018596	0.01423	0.006625	0.005377	0.000967	-7862.885
165	0.005287	0.005339	0.00621	0.008558	0.007143	0.005698	0.006771	0.013997	0.008702	0.014134	0.007935	0.003939	0.00172	-7871.876
166	0.007556	0.002806	0.0082	0.006651	0.006665	0.013778	0.008054	0.011248	0.025748	0.012926	0.006781	0.003814	0.001941	-7879.601
167	0.005443	0.004717	0.005465	0.005345	0.00386	0.00787	0.007747	0.010068	0.017476	0.012854	0.006583	0.004426	0.003279	-7863.62
168	0.004534	0.004564	0.010977	0.008456	0.005985	0.00972	0.005039	0.013384	0.015439	0.01745	0.007464	0.004495	0.002181	-7855.191
169	0.005312	0.002837	0.008047	0.007238	0.005463	0.010188	0.007785	0.024743	0.009386	0.01362	0.006297	0.004686	0.003231	-7870.992
170	0.004675	0.004687	0.005861	0.006977	0.006894	0.007859	0.00514	0.014505	0.028071	0.014971	0.008298	0.003555	0.003353	-7867.801
171	0.00634	0.003806	0.006278	0.005649	0.004529	0.010855	0.009148	0.008696	0.008626	0.016065	0.00725	0.004509	0.002462	-7865.009
172	0.004134	0.0055	0.004589	0.0053	0.005604	0.0047	0.00587	0.007092	0.017214	0.014072	0.006669	0.004726	0.002803	-7857.155
173	0.005013	0.006067	0.008329	0.005036	0.005405	0.027401	0.007765	0.013227	0.010921	0.011944	0.007701	0.00359	0.002646	-7858.391
174	0.008117	0.005517	0.006472	0.005427	0.005113	0.034612	0.009889	0.006069	0.007487	0.009929	0.006031	0.004109	0.002656	-7876.295
175	0.00392	0.004042	0.004422	0.005209	0.00659	0.011793	0.007434	0.011652	0.006772	0.012248	0.007574	0.004771	0.003253	-7865.98
176	0.004971	0.004521	0.006367	0.00471	0.004456	0.006705	0.004816	0.01374	0.019814	0.01441	0.007999	0.00393	0.002242	-7866.844
177	0.006359	0.005334	0.005467	0.005914	0.006017	0.013198	0.005577	0.007569	0.011566	0.01382	0.00535	0.003673	0.003042	-7854.181
178	0.004845	0.004304	0.005131	0.0046	0.005235	0.00912	0.008967	0.009983	0.010457	0.017486	0.007354	0.004138	0.003741	-7860.294
179	0.003278	0.003979	0.00929	0.00661	0.007122	0.015051	0.004121	0.020407	0.006466	0.014287	0.008133	0.004443	0.003725	-7859.158
180	0.004239	0.003936	0.010149	0.006419	0.003987	0.01579	0.008677	0.021075	0.01832	0.016594	0.005543	0.004453	0.003563	-7857.038
181	0.005782	0.003589	0.005478	0.006826	0.005183	0.026513	0.00531	0.011559	0.007862	0.012165	0.006547	0.003261	0.002733	-7876.246
182	0.005148	0.006131	0.006062	0.003398	0.005032	0.008072	0.009549	0.019316	0.01853	0.014502	0.005786	0.004985	0.00186	-7854.445
183	0.006517	0.008439	0.00672	0.004205	0.005356	0.023633	0.010761	0.016089	0.014595	0.015232	0.007581	0.004795	0.001658	-7877.364
184	0.003722	0.005463	0.005719	0.006826	0.004847	0.0077	0.006275	0.008506	0.007898	0.013766	0.006184	0.004441	0.002939	-7843.893
